holiday;start;end
summer;2009-07-30;2009-09-12
summer;2010-07-29;2010-09-11
summer;2011-07-28;2011-09-10
summer;2012-07-26;2012-09-08
summer;2013-07-25;2013-09-07
summer;2014-07-31;2014-09-13
summer;2015-07-30;2015-09-12
summer;2016-07-28;2016-09-10
summer;2017-07-27;2017-09-09
summer;2018-07-26;2018-09-08
summer;2019-07-29;2019-09-10
summer;2020-07-30;2020-09-12
summer;2021-07-29;2021-09-11
easter;2009-04-09;2009-04-17
easter;2010-04-01;2010-04-10
easter;2011-04-21;2011-04-30
easter;2012-04-02;2012-04-13
easter;2013-03-25;2013-04-05
easter;2014-04-14;2014-04-25
easter;2015-03-30;2015-04-10
easter;2016-03-29;2016-04-02
easter;2017-04-10;2017-04-21
easter;2018-03-26;2018-04-06
easter;2019-04-15;2019-04-27
easter;2020-04-06;2020-04-18
easter;2021-04-06;2021-04-10
winter;2009-12-23;2010-01-09
winter;2010-12-23;2011-01-08
winter;2011-12-23;2012-01-05
winter;2012-12-24;2013-01-05
winter;2013-12-23;2014-01-04
winter;2014-12-22;2015-01-05
winter;2015-12-23;2016-01-09
winter;2016-12-23;2017-01-07
winter;2017-12-22;2018-01-05
winter;2018-12-24;2019-01-05
winter;2019-12-23;2020-01-04
winter;2020-12-23;2021-01-09
winter;2021-12-23;2022-01-08
autumn;2009-10-26;2009-10-31
autumn;2010-11-02;2010-11-06
autumn;2011-10-31;2011-11-04
autumn;2012-10-29;2012-11-02
autumn;2013-10-28;2013-10-30
autumn;2014-10-27;2014-10-31
autumn;2015-10-31;2015-11-06
autumn;2016-11-02;2016-11-04
autumn;2017-10-30;2017-11-03
autumn;2018-10-29;2018-11-02
autumn;2019-10-28;2019-10-31
autumn;2020-10-26;2020-10-31
autumn;2021-11-02;2021-11-06
spring;2009-05-25;2009-06-06
spring;2010-05-25;2010-06-05
spring;2011-06-14;2011-06-25
spring;2012-05-29;2012-06-09
spring;2013-05-21;2013-06-01
spring;2014-06-10;2014-06-21
spring;2015-05-26;2015-06-06
spring;2016-05-17;2016-05-28
spring;2017-06-06;2017-06-16
spring;2018-05-22;2018-06-02
spring;2019-06-11;2019-06-21
spring;2020-06-02;2020-06-13
spring;2021-05-25;2021-06-05
